<1-SG-POSS>:{gu}	N3
<2-SG-POSS>:{zu}	N3
<3-NH>:{b}	V5
<3-PL-DAT>:{nne}	?
<3-SG-COP>:{am}	N6
<3-SG-DAT>:{nna}	?
<3-SG-H-DAT>:{nna}	?
<3-SG-H-POSS>:{ani}	N3
<3-SG-H-POSS>:{bi}	N3
<3-SG-NH-A>:{b}	V11,V14
<3-SG-NH-POSS>:{bi}	N3
<ABS>:{ø}	N5
<COP-3-PL>:{mesz}	N6
<COP-3-SG>:{am}	N6
<DAT-H>:{ra}	N5
<DAT-NH>:{e}	N5
<DEM2>:{bi}	N3
<ERG>:{e}	N5
<GEN>:{ak}	N5
<L1>:{’a}	N5
<L1>:{’a}	N5
<L2-NH>:{’a}	N5
<L3-NH>:{e}	N5
<SUB>:{a}	V15
